index,features
5,Permission::WAKE_LOCK
6,Permission::WRITE_EXTERNAL_STORAGE
7,Permission::ACCESS_NETWORK_STATE
8,Permission::WRITE_SETTINGS
9,Permission::INTERNET
10,Intent::AUDIO_BECOMING_NOISY
11,APICall::Landroid/content/Intent.toUri()
12,APICall::Landroid/view/View.setTag()
13,APICall::Landroid/util/Xml.newSerializer()
14,APICall::Landroid/content/pm/PackageManager.queryIntentServices()
15,APICall::Landroid/view/ViewStub.setLayoutResource()
16,APICall::Landroid/content/Context.createPackageContext()
17,APICall::Landroid/os/Handler.removeMessages()
18,APICall::Landroid/widget/Scroller.getCurrY()
19,APICall::Landroid/view/View.invalidate()
20,APICall::Landroid/os/IBinder.linkToDeath()
21,APICall::Landroid/view/View.getScrollX()
22,APICall::Landroid/net/Uri.writeToParcel()
23,APICall::Landroid/view/View.getScrollY()
24,APICall::Landroid/view/LayoutInflater.from()
25,APICall::Landroid/view/View$AccessibilityDelegate.sendAccessibilityEventUnchecked()
26,APICall::Landroid/os/Parcel.readFloat()
27,APICall::Landroid/os/SystemClock.uptimeMillis()
28,APICall::Landroid/content/Context.getApplicationInfo()
29,APICall::Landroid/view/MotionEvent.obtain()
30,APICall::Landroid/view/View.requestFocus()
31,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setPackageName()
32,APICall::Landroid/os/Parcel.writeDouble()
33,APICall::Landroid/view/VelocityTracker.recycle()
34,APICall::Landroid/widget/LinearLayout.requestFocus()
35,APICall::Landroid/view/ViewTreeObserver.removeGlobalOnLayoutListener()
36,APICall::Landroid/view/ViewGroup.isInEditMode()
37,APICall::Landroid/os/Bundle.getBoolean()
38,APICall::Landroid/view/View.isShown()
39,APICall::Landroid/widget/TextView.setTypeface()
40,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setLongClickable()
41,APICall::Landroid/widget/ImageView.setId()
42,APICall::Landroid/os/Binder.getCallingPid()
43,APICall::Landroid/widget/RelativeLayout.onAttachedToWindow()
44,APICall::Landroid/util/Base64OutputStream.write()
45,APICall::Landroid/util/Base64OutputStream.close()
46,APICall::Landroid/view/MenuItem.getGroupId()
47,APICall::Landroid/content/ContentValues.put()
48,APICall::Landroid/widget/TextView.setSingleLine()
49,APICall::Landroid/view/ViewGroup.setTranslationY()
50,APICall::Landroid/net/wifi/WifiManager$WifiLock.isHeld()
51,APICall::Landroid/net/wifi/WifiManager$WifiLock.release()
52,APICall::Landroid/view/Menu.add()
53,APICall::Landroid/os/Parcel.obtain()
54,APICall::Landroid/view/View$MeasureSpec.makeMeasureSpec()
55,APICall::Landroid/content/Intent.makeMainActivity()
56,APICall::Landroid/os/Parcel.writeInterfaceToken()
57,APICall::Landroid/view/Window.setUiOptions()
58,APICall::Landroid/view/ViewConfiguration.getScaledPagingTouchSlop()
59,APICall::Landroid/os/IBinder.transact()
60,APICall::Landroid/view/MenuItem.getIcon()
61,APICall::Landroid/os/Parcel.recycle()
62,APICall::Landroid/widget/AdapterView$OnItemClickListener.onItemClick()
63,APICall::Landroid/content/Intent.createChooser()
64,APICall::Landroid/view/ViewGroup.onInitializeAccessibilityEvent()
65,APICall::Landroid/content/Intent.hasExtra()
66,APICall::Landroid/text/Html.fromHtml()
67,APICall::Landroid/content/Intent.putExtra()
68,APICall::Landroid/content/Intent.setType()
69,APICall::Landroid/content/pm/PackageManager.getActivityIcon()
70,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setScrollable()
71,APICall::Landroid/content/pm/PackageManager.getApplicationInfo()
72,APICall::Landroid/content/SharedPreferences$Editor.putInt()
73,APICall::Landroid/content/Intent.getStringExtra()
74,APICall::Landroid/view/animation/Transformation.getAlpha()
75,APICall::Landroid/view/View.setOnTouchListener()
76,APICall::Landroid/view/MenuItem.getIntent()
77,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.isLongClickable()
78,APICall::Landroid/view/MenuItem.setShortcut()
79,APICall::Landroid/view/SubMenu.setHeaderTitle()
80,APICall::Landroid/widget/ListAdapter.registerDataSetObserver()
81,APICall::Landroid/widget/ListAdapter.unregisterDataSetObserver()
82,APICall::Landroid/widget/PopupWindow.setBackgroundDrawable()
83,APICall::Landroid/widget/PopupWindow.setFocusable()
84,APICall::Landroid/widget/PopupWindow.setOnDismissListener()
85,APICall::Landroid/widget/PopupWindow.setWindowLayoutMode()
86,APICall::Landroid/widget/PopupWindow.setOutsideTouchable()
87,APICall::Landroid/widget/PopupWindow.setTouchInterceptor()
88,APICall::Landroid/widget/PopupWindow.showAsDropDown()
89,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.getBoundsInScreen()
90,APICall::Landroid/net/http/HttpResponseCache.getInstalled()
91,APICall::Landroid/view/VelocityTracker.clear()
92,APICall::Landroid/util/Base64.encodeToString()
93,APICall::Landroid/content/Context.checkCallingOrSelfPermission()
94,APICall::Landroid/os/IBinder.queryLocalInterface()
95,APICall::Landroid/view/View.setVisibility()
96,APICall::Landroid/content/IntentFilter.addDataScheme()
97,APICall::Landroid/content/Intent.getData()
98,APICall::Landroid/os/Bundle.getParcelableArrayList()
99,APICall::Landroid/widget/ImageView.getLayoutParams()
100,APICall::Landroid/widget/ImageView.setOnClickListener()
101,APICall::Landroid/os/HandlerThread.quit()
102,APICall::Landroid/view/Display.getWidth()
103,APICall::Landroid/view/View.getLocalVisibleRect()
104,APICall::Landroid/view/View.getWindowVisibility()
105,APICall::Landroid/util/AttributeSet.getPositionDescription()
106,APICall::Landroid/text/style/URLSpan.updateDrawState()
107,APICall::Landroid/os/Environment.getExternalStorageDirectory()
108,APICall::Landroid/text/SpannableStringBuilder.length()
109,APICall::Landroid/view/View.offsetTopAndBottom()
110,APICall::Landroid/webkit/MimeTypeMap.getMimeTypeFromExtension()
111,APICall::Landroid/net/ConnectivityManager.getActiveNetworkInfo()
112,APICall::Landroid/content/Context.getExternalFilesDirs()
113,APICall::Landroid/view/MenuItem.collapseActionView()
114,APICall::Landroid/view/ViewGroup.onMeasure()
115,APICall::Landroid/os/Bundle.putAll()
116,APICall::Landroid/view/animation/AccelerateInterpolator.getInterpolation()
117,APICall::Landroid/widget/FrameLayout.onPopulateAccessibilityEvent()
118,APICall::Landroid/widget/ImageButton.onAttachedToWindow()
119,APICall::Landroid/widget/Scroller.startScroll()
120,APICall::Landroid/content/Context.getObbDirs()
121,APICall::Landroid/view/View$AccessibilityDelegate.getAccessibilityNodeProvider()
122,APICall::Landroid/content/SharedPreferences.getBoolean()
123,APICall::Landroid/os/Bundle.putParcelable()
124,APICall::Landroid/view/View.setOnCreateContextMenuListener()
125,APICall::Landroid/widget/LinearLayout.onFinishInflate()
126,APICall::Landroid/view/View.restoreHierarchyState()
127,APICall::Landroid/widget/TextView.onWindowFocusChanged()
128,APICall::Landroid/view/View.getRight()
129,APICall::Landroid/view/accessibility/AccessibilityEvent.setScrollable()
130,APICall::Landroid/view/accessibility/AccessibilityEvent.setEnabled()
131,APICall::Landroid/view/accessibility/AccessibilityEvent.setToIndex()
132,APICall::Landroid/view/MenuItem.setVisible()
133,APICall::Landroid/webkit/WebView.stopLoading()
134,APICall::Landroid/view/accessibility/AccessibilityRecord.setToIndex()
135,APICall::Landroid/os/ParcelFileDescriptor.getFileDescriptor()
136,APICall::Landroid/view/View$AccessibilityDelegate.performAccessibilityAction()
137,APICall::Landroid/widget/CompoundButton.setVisibility()
138,APICall::Landroid/view/ViewGroup.removeAllViews()
139,APICall::Landroid/view/MotionEvent.getX()
140,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setContentDescription()
141,APICall::Landroid/view/ViewGroup.addView()
142,APICall::Landroid/content/res/Resources.getLayout()
143,APICall::Landroid/widget/RelativeLayout.addView()
144,APICall::Landroid/view/ViewGroup.setId()
145,APICall::Landroid/view/ViewTreeObserver.addOnGlobalLayoutListener()
146,APICall::Landroid/view/animation/ScaleAnimation.setDuration()
147,APICall::Landroid/view/animation/AnimationSet.addAnimation()
148,APICall::Landroid/view/MenuItem.getTitle()
149,APICall::Landroid/widget/FrameLayout.addView()
150,APICall::Landroid/view/ViewGroup.dispatchKeyEvent()
151,APICall::Landroid/view/ViewGroup.removeViewAt()
152,APICall::Landroid/widget/RelativeLayout$LayoutParams.addRule()
153,APICall::Landroid/os/Parcel.createTypedArrayList()
154,APICall::Landroid/widget/SpinnerAdapter.getItem()
155,APICall::Landroid/widget/ListView.setOnKeyListener()
156,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setMovementGranularities()
157,APICall::Landroid/view/WindowManager.getDefaultDisplay()
158,APICall::Landroid/view/View.jumpDrawablesToCurrentState()
159,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.getMovementGranularities()
160,APICall::Landroid/content/Intent.setClipData()
161,APICall::Landroid/os/SystemClock.elapsedRealtime()
162,APICall::Landroid/content/res/TypedArray.getDimensionPixelOffset()
163,APICall::Landroid/view/ContextMenu.add()
164,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.isEnabled()
165,APICall::Landroid/widget/RelativeLayout.removeView()
166,APICall::Landroid/content/pm/ApplicationInfo.loadLogo()
167,APICall::Landroid/os/Binder.clearCallingIdentity()
168,APICall::Landroid/content/SharedPreferences$Editor.clear()
169,APICall::Landroid/widget/Scroller.getCurrX()
170,APICall::Landroid/widget/CheckBox.setVisibility()
171,APICall::Landroid/content/pm/PackageManager.getActivityLogo()
172,APICall::Landroid/os/Bundle.getString()
173,APICall::Landroid/os/Parcel.createByteArray()
174,APICall::Landroid/os/Binder.restoreCallingIdentity()
175,APICall::Landroid/util/Xml.asAttributeSet()
176,APICall::Landroid/view/MenuItem.getTitleCondensed()
177,APICall::Landroid/view/Window.setTitle()
178,APICall::Landroid/widget/FrameLayout.setLayoutParams()
179,APICall::Landroid/widget/TextView.setMaxLines()
180,APICall::Landroid/content/pm/Signature.toByteArray()
181,APICall::Landroid/view/animation/AlphaAnimation.setRepeatCount()
182,APICall::Landroid/text/SpannableString.setSpan()
183,APICall::Landroid/widget/FrameLayout.removeAllViews()
184,APICall::Landroid/content/pm/ActivityInfo.getIconResource()
185,APICall::Landroid/view/Menu.addSubMenu()
186,APICall::Landroid/view/MenuItem.setIcon()
187,APICall::Landroid/view/MenuItem.setOnMenuItemClickListener()
188,APICall::Landroid/content/pm/PackageManager.getDefaultActivityIcon()
189,APICall::Landroid/content/Context.isRestricted()
190,APICall::Landroid/view/MenuItem.setEnabled()
191,APICall::Landroid/view/MenuItem.setNumericShortcut()
192,APICall::Landroid/content/Context.startActivity()
193,APICall::Landroid/view/MenuItem.setShowAsActionFlags()
194,APICall::Landroid/view/MenuItem.setChecked()
195,APICall::Landroid/content/ContentResolver.openInputStream()
196,APICall::Landroid/os/Parcelable.writeToParcel()
197,APICall::Landroid/view/SubMenu.setGroupCheckable()
198,APICall::Landroid/preference/PreferenceActivity.onPanelClosed()
199,APICall::Landroid/view/MotionEvent.getEdgeFlags()
200,APICall::Landroid/content/ClipData.getDescription()
201,APICall::Landroid/widget/ListAdapter.areAllItemsEnabled()
202,APICall::Landroid/widget/ListView.setId()
203,APICall::Landroid/view/MotionEvent.getActionMasked()
204,APICall::Landroid/widget/PopupWindow.setTouchable()
205,APICall::Landroid/view/MotionEvent.getHistoricalX()
206,APICall::Landroid/widget/TabHost.setup()
207,APICall::Landroid/os/Parcel.writeFloat()
208,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.isSelected()
209,APICall::Landroid/view/MenuItem.getActionView()
210,APICall::Landroid/webkit/WebView.post()
211,APICall::Landroid/webkit/WebView.setWillNotDraw()
212,APICall::Landroid/widget/PopupWindow.showAtLocation()
213,APICall::Landroid/os/Binder.getCallingUid()
