,names,stats,p_values
3242,Permission::MOUNT_UNMOUNT_FILESYSTEMS,22321.011248526764,0.0
3240,Permission::CHANGE_WIFI_STATE,17168.82977629007,0.0
3249,Permission::GET_TASKS,16600.018339604,0.0
3950,Intent::PACKAGE_REMOVED,16365.16044470525,0.0
3430,Permission::CHANGE_NETWORK_STATE,15538.667461877496,0.0
3253,Permission::READ_LOGS,15130.358069071997,0.0
3255,Permission::REQUEST_INSTALL_PACKAGES,14213.584678741432,0.0
3948,Intent::USER_PRESENT,13334.964880554726,0.0
3084,APICall::Landroid/view/Window.setType(),12875.966741500375,0.0
3244,Permission::SYSTEM_ALERT_WINDOW,12587.043101698202,0.0
6250,Intent::REPORT,12374.328812698408,0.0
3257,Intent::CONNECTIVITY_CHANGE,12302.827107370487,0.0
3252,Permission::ACCESS_LOCATION_EXTRA_COMMANDS,11775.520292933306,0.0
6251,Intent::MESSAGE_RECEIVED,10782.48981476111,0.0
3250,Permission::RECORD_AUDIO,9829.126919504472,0.0
2701,Permission::READ_PHONE_STATE,8579.893437055045,0.0
3254,Permission::MODIFY_AUDIO_SETTINGS,7892.684890784462,0.0
3,Permission::WRITE_SETTINGS,7494.456690316156,0.0
3245,Permission::CAMERA,7115.492736507977,0.0
243,APICall::Landroid/view/KeyEvent.getAction(),7111.362618023917,0.0
90,APICall::Landroid/view/View.setVisibility(),7057.626178963371,0.0
1135,APICall::Landroid/util/SparseArray.get(),7004.60887425722,0.0
1142,APICall::Landroid/util/SparseArray.size(),6998.038316692909,0.0
1824,APICall::Landroid/widget/Button.setOnClickListener(),6973.779859086234,0.0
244,APICall::Landroid/view/KeyEvent.getKeyCode(),6952.799163092745,0.0
217,APICall::Landroid/content/res/Resources.getResourceName(),6943.89303089951,0.0
1035,APICall::Landroid/view/LayoutInflater.inflate(),6939.043731596209,0.0
1277,APICall::Landroid/view/View.getId(),6923.560332961021,0.0
331,APICall::Landroid/util/SparseArray.put(),6920.709036245763,0.0
828,APICall::Landroid/content/res/TypedArray.getResourceId(),6919.236442550078,0.0
1285,APICall::Landroid/view/Window.getAttributes(),6904.787008398043,0.0
566,APICall::Landroid/view/View.getLayoutParams(),6904.176048832318,0.0
1212,APICall::Landroid/widget/ImageView.setImageResource(),6898.59888236821,0.0
3949,Intent::PACKAGE_ADDED,6894.2941335630985,0.0
352,APICall::Landroid/content/Context.obtainStyledAttributes(),6889.607225066685,0.0
1088,APICall::Landroid/view/KeyEvent.getRepeatCount(),6886.398650695867,0.0
1112,APICall::Landroid/view/MotionEvent.getPointerId(),6878.49110888838,0.0
224,APICall::Landroid/view/Window.addFlags(),6866.012132121448,0.0
528,APICall::Landroid/content/ContentResolver.query(),6862.5807949452155,0.0
220,APICall::Landroid/view/ViewConfiguration.get(),6851.145491935558,0.0
966,APICall::Landroid/view/View.setLayoutParams(),6845.456773521855,0.0
375,APICall::Landroid/view/ViewConfiguration.getScaledTouchSlop(),6843.001264010761,0.0
307,APICall::Landroid/util/SparseArray.remove(),6839.653783374893,0.0
629,APICall::Landroid/widget/TextView.setVisibility(),6838.070894738049,0.0
2497,APICall::Landroid/view/ViewConfiguration.getTapTimeout(),6828.560559495766,0.0
1284,APICall::Landroid/view/View.setId(),6827.045089211074,0.0
1060,APICall::Landroid/util/SparseArray.valueAt(),6825.156757157734,0.0
1370,APICall::Landroid/widget/Button.setText(),6823.145415430034,0.0
894,APICall::Landroid/os/Parcel.readParcelable(),6821.848635415195,0.0
25,APICall::Landroid/view/View.requestFocus(),6819.789675034851,0.0
707,APICall::Landroid/os/Parcel.writeParcelable(),6818.764219992197,0.0
1151,APICall::Landroid/view/View.getLeft(),6811.408413452382,0.0
627,APICall::Landroid/view/View.measure(),6808.384465531836,0.0
509,APICall::Landroid/widget/ImageView.setImageDrawable(),6807.7616992471485,0.0
7,APICall::Landroid/view/View.setTag(),6807.030595189319,0.0
190,APICall::Landroid/content/ContentResolver.openInputStream(),6805.151250424504,0.0
1138,APICall::Landroid/os/Bundle.putSparseParcelableArray(),6794.238878866962,0.0
434,APICall::Landroid/view/View.getBackground(),6790.568911123243,0.0
1282,APICall::Landroid/os/Bundle.getSparseParcelableArray(),6790.53367651688,0.0
1229,APICall::Landroid/os/Handler.getLooper(),6783.186109979785,0.0
430,APICall::Landroid/view/VelocityTracker.obtain(),6781.25125387802,0.0
123,APICall::Landroid/view/View.getRight(),6780.901483429364,0.0
2023,APICall::Landroid/util/SparseArray.keyAt(),6778.905251398264,0.0
1174,APICall::Landroid/view/VelocityTracker.addMovement(),6778.881684134045,0.0
634,APICall::Landroid/view/VelocityTracker.computeCurrentVelocity(),6778.776817523643,0.0
513,APICall::Landroid/content/res/Resources.getColor(),6776.407557784078,0.0
28,APICall::Landroid/view/VelocityTracker.recycle(),6774.6445178977165,0.0
1144,APICall::Landroid/util/SparseArray.clear(),6765.940652237045,0.0
2041,APICall::Landroid/os/Bundle.putStringArray(),6765.058537255017,0.0
666,APICall::Landroid/content/res/Resources$Theme.resolveAttribute(),6762.211543796274,0.0
517,APICall::Landroid/view/View.findViewById(),6761.302175083323,0.0
745,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setClassName(),6761.117393963452,0.0
770,APICall::Landroid/widget/LinearLayout.setVisibility(),6759.037073511878,0.0
1087,APICall::Landroid/view/accessibility/AccessibilityEvent.setClassName(),6757.083311839947,0.0
1057,APICall::Landroid/view/MotionEvent.findPointerIndex(),6756.1455742240205,0.0
649,APICall::Landroid/view/View.startAnimation(),6753.855573513542,0.0
776,APICall::Landroid/view/View.getParent(),6753.1631938758255,0.0
431,APICall::Landroid/view/View.postDelayed(),6752.9362246850715,0.0
265,APICall::Landroid/view/View.setPadding(),6751.974535708145,0.0
705,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.addAction(),6749.456775570202,0.0
687,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.getPackageName(),6747.866618885584,0.0
956,APICall::Landroid/widget/EdgeEffect.onPull(),6747.352579662943,0.0
587,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.getBoundsInParent(),6747.132328473748,0.0
1258,APICall::Landroid/view/View.setAccessibilityDelegate(),6747.126307455365,0.0
494,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.getText(),6745.867679454172,0.0
1007,APICall::Landroid/widget/EdgeEffect.onRelease(),6745.60865678652,0.0
1030,APICall::Landroid/widget/EdgeEffect.setSize(),6745.189024841796,0.0
1156,APICall::Landroid/widget/EdgeEffect.isFinished(),6745.189024841796,0.0
383,APICall::Landroid/widget/EdgeEffect.draw(),6745.189024841796,0.0
749,APICall::Landroid/view/View$BaseSavedState.writeToParcel(),6744.9766802403265,0.0
1170,APICall::Landroid/content/res/TypedArray.getDimensionPixelSize(),6743.940954309121,0.0
1193,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.getClassName(),6743.792674450183,0.0
1269,APICall::Landroid/view/View.postOnAnimation(),6743.501392759243,0.0
941,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.getContentDescription(),6743.268225987767,0.0
43,APICall::Landroid/widget/TextView.setSingleLine(),6743.00174868148,0.0
256,APICall::Landroid/view/View$AccessibilityDelegate.sendAccessibilityEvent(),6742.807812144972,0.0
